year,calendar_hours,known_hours,unknown_hours,lower_only_hours,lower_only_percent_year,data_coverage_percent
2021,8760.000000,8757.716667,2.283333,32.733333,0.373668,99.973935
2022,8760.000000,8747.600000,12.400000,11.583333,0.132230,99.858447
2023,8760.000000,8736.766667,23.233333,29.633333,0.338280,99.734779
2024,8784.000000,8751.266667,32.733333,77.116667,0.877922,99.627353
2025,8760.000000,8655.000000,105.000000,26.833333,0.306317,98.801370
