event_id,event_start_utc,event_end_utc,duration_hours,duration_minutes,interval_count,start_year,duration_group
55,2021-06-02T11:22:00Z,2021-06-02T12:12:00Z,0.8333333333333333,49.99999999999999,2,2021,30-59 min
56,2021-06-02T12:36:00Z,2021-06-02T12:43:00Z,0.1166666666666666,6.999999999999996,1,2021,Under 30 min
57,2021-06-02T14:56:00Z,2021-06-02T15:35:00Z,0.65,39.0,1,2021,30-59 min
58,2021-06-03T01:56:00Z,2021-06-03T02:11:00Z,0.25,15.0,1,2021,Under 30 min
59,2021-06-03T02:23:00Z,2021-06-03T02:49:00Z,0.4333333333333333,25.999999999999996,1,2021,Under 30 min
60,2021-06-04T01:52:00Z,2021-06-04T02:02:00Z,0.1666666666666666,9.999999999999996,2,2021,Under 30 min
61,2021-06-04T16:45:00Z,2021-06-04T17:04:00Z,0.3166666666666666,18.999999999999996,2,2021,Under 30 min
62,2021-06-07T08:45:00Z,2021-06-07T08:56:00Z,0.1833333333333333,10.999999999999998,1,2021,Under 30 min
63,2021-06-07T13:16:00Z,2021-06-07T13:56:00Z,0.6666666666666666,40.0,1,2021,30-59 min
64,2021-06-12T17:27:00Z,2021-06-12T17:50:00Z,0.3833333333333333,23.0,1,2021,Under 30 min
65,2021-06-14T17:03:00Z,2021-06-14T17:25:00Z,0.3666666666666666,21.999999999999996,1,2021,Under 30 min
66,2021-06-14T17:42:00Z,2021-06-14T17:51:00Z,0.15,9.0,1,2021,Under 30 min
67,2021-06-14T18:17:00Z,2021-06-14T18:22:00Z,0.0833333333333333,4.999999999999998,1,2021,Under 30 min
68,2021-06-14T23:42:00Z,2021-06-14T23:52:00Z,0.1666666666666666,9.999999999999996,1,2021,Under 30 min
69,2021-06-15T03:37:00Z,2021-06-15T03:51:00Z,0.2333333333333333,13.999999999999998,1,2021,Under 30 min
70,2021-06-15T04:38:00Z,2021-06-15T04:47:00Z,0.15,9.0,1,2021,Under 30 min
71,2021-06-15T05:47:00Z,2021-06-15T06:14:00Z,0.44999999999999996,26.999999999999996,2,2021,Under 30 min
72,2021-06-16T08:34:00Z,2021-06-16T08:40:00Z,0.1,6.0,1,2021,Under 30 min
73,2021-06-18T13:44:00Z,2021-06-18T13:49:00Z,0.0833333333333333,4.999999999999998,1,2021,Under 30 min
74,2021-06-18T14:08:00Z,2021-06-18T14:28:00Z,0.3333333333333333,20.0,1,2021,Under 30 min
75,2021-06-22T14:03:00Z,2021-06-22T14:13:00Z,0.1666666666666666,9.999999999999996,1,2021,Under 30 min
76,2021-06-22T14:53:00Z,2021-06-22T15:30:00Z,0.6166666666666667,37.0,2,2021,30-59 min
77,2021-07-01T02:25:00Z,2021-07-01T02:40:00Z,0.25,15.0,1,2021,Under 30 min
78,2021-07-01T02:53:00Z,2021-07-01T03:14:00Z,0.35,21.0,2,2021,Under 30 min
79,2021-07-01T03:22:00Z,2021-07-01T03:28:00Z,0.1,6.0,1,2021,Under 30 min
80,2021-07-03T14:16:00Z,2021-07-03T14:40:00Z,0.4,24.0,1,2021,Under 30 min
81,2021-07-05T03:32:00Z,2021-07-05T03:54:00Z,0.3666666666666666,21.999999999999996,1,2021,Under 30 min
82,2021-07-10T02:47:00Z,2021-07-10T02:56:00Z,0.15,9.0,1,2021,Under 30 min
83,2021-07-10T11:00:00Z,2021-07-10T11:16:00Z,0.2666666666666666,15.999999999999996,1,2021,Under 30 min
84,2021-07-10T13:03:00Z,2021-07-10T13:56:00Z,0.8833333333333333,53.0,1,2021,30-59 min
85,2021-07-18T13:31:00Z,2021-07-18T13:56:00Z,0.4166666666666667,25.0,1,2021,Under 30 min
86,2021-07-18T14:10:00Z,2021-07-18T15:04:00Z,0.9,54.0,2,2021,30-59 min
87,2021-07-18T15:44:00Z,2021-07-18T16:09:00Z,0.41666666666666663,24.999999999999996,2,2021,Under 30 min
88,2021-07-18T16:24:00Z,2021-07-18T16:34:00Z,0.1666666666666666,9.999999999999996,1,2021,Under 30 min
89,2021-07-22T11:42:00Z,2021-07-22T11:48:00Z,0.1,6.0,1,2021,Under 30 min
90,2021-07-22T15:11:00Z,2021-07-22T15:24:00Z,0.2166666666666666,12.999999999999995,1,2021,Under 30 min
91,2021-07-23T12:36:00Z,2021-07-23T12:42:00Z,0.1,6.0,1,2021,Under 30 min
92,2021-07-25T16:37:00Z,2021-07-25T16:56:00Z,0.3166666666666666,18.999999999999996,1,2021,Under 30 min
93,2021-07-26T09:24:00Z,2021-07-26T09:56:00Z,0.5333333333333333,32.0,1,2021,30-59 min
94,2021-07-26T11:47:00Z,2021-07-26T11:56:00Z,0.15,9.0,1,2021,Under 30 min
95,2021-07-26T12:39:00Z,2021-07-26T12:48:00Z,0.15,9.0,1,2021,Under 30 min
96,2021-07-26T13:08:00Z,2021-07-26T13:21:00Z,0.2166666666666666,12.999999999999995,1,2021,Under 30 min
97,2021-07-26T16:25:00Z,2021-07-26T16:56:00Z,0.5166666666666667,31.000000000000004,1,2021,30-59 min
98,2021-07-26T17:56:00Z,2021-07-26T18:02:00Z,0.1,6.0,1,2021,Under 30 min
99,2021-07-26T18:26:00Z,2021-07-26T18:46:00Z,0.3333333333333333,20.0,1,2021,Under 30 min
100,2021-07-30T05:56:00Z,2021-07-30T06:56:00Z,1.0,60.0,1,2021,1-2 hours
101,2021-07-30T15:43:00Z,2021-07-30T15:56:00Z,0.2166666666666666,12.999999999999995,1,2021,Under 30 min
102,2021-07-31T04:33:00Z,2021-07-31T04:47:00Z,0.2333333333333333,13.999999999999998,1,2021,Under 30 min
103,2021-07-31T05:40:00Z,2021-07-31T05:56:00Z,0.2666666666666666,15.999999999999996,1,2021,Under 30 min
104,2021-07-31T16:44:00Z,2021-07-31T17:02:00Z,0.30000000000000004,18.000000000000004,2,2021,Under 30 min
105,2021-07-31T23:26:00Z,2021-07-31T23:56:00Z,0.5,30.0,1,2021,30-59 min
106,2021-08-01T00:05:00Z,2021-08-01T00:16:00Z,0.1833333333333333,10.999999999999998,1,2021,Under 30 min
107,2021-08-01T00:39:00Z,2021-08-01T00:47:00Z,0.1333333333333333,7.999999999999998,1,2021,Under 30 min
108,2021-08-01T01:14:00Z,2021-08-01T02:25:00Z,1.1833333333333331,70.99999999999999,2,2021,1-2 hours
109,2021-08-01T02:56:00Z,2021-08-01T03:05:00Z,0.15,9.0,1,2021,Under 30 min
110,2021-08-01T03:56:00Z,2021-08-01T04:22:00Z,0.4333333333333333,25.999999999999996,1,2021,Under 30 min
111,2021-08-01T04:28:00Z,2021-08-01T04:56:00Z,0.4666666666666667,28.0,1,2021,Under 30 min
112,2021-08-01T10:27:00Z,2021-08-01T11:22:00Z,0.9166666666666665,54.99999999999999,2,2021,30-59 min
113,2021-08-01T11:56:00Z,2021-08-01T12:51:00Z,0.9166666666666666,55.0,1,2021,30-59 min
114,2021-08-01T13:07:00Z,2021-08-01T13:20:00Z,0.2166666666666666,12.999999999999995,1,2021,Under 30 min
115,2021-08-02T00:14:00Z,2021-08-02T00:20:00Z,0.1,6.0,1,2021,Under 30 min
116,2021-08-02T00:24:00Z,2021-08-02T00:37:00Z,0.2166666666666666,12.999999999999995,1,2021,Under 30 min
