year,calendar_hours,known_hours,unknown_hours,lower_only_hours,lower_only_percent_year,data_coverage_percent
2021,8760.000000,8747.983333,12.016667,91.683333,1.046613,99.862823
2022,8760.000000,8564.550000,195.450000,78.700000,0.898402,97.768836
2023,8760.000000,8718.616667,41.383333,91.966667,1.049848,99.527588
2024,8784.000000,8769.200000,14.800000,87.316667,0.994042,99.831512
2025,8760.000000,8742.383333,17.616667,80.400000,0.917808,99.798896
