year,calendar_hours,known_hours,unknown_hours,lower_only_hours,lower_only_percent_year,data_coverage_percent
2021,8760.000000,8556.416667,203.583333,107.250000,1.224315,97.675989
2022,8760.000000,8691.650000,68.350000,150.866667,1.722222,99.219749
2023,8760.000000,8598.683333,161.316667,66.616667,0.760464,98.158486
2024,8784.000000,8634.250000,149.750000,102.650000,1.168602,98.295196
2025,8760.000000,8601.616667,158.383333,99.350000,1.134132,98.191971
